question_id,question_text,category,primary_dimension,tool_type,data_sensitivity,user_scenario,query_context
68,What about AI browser extensions?,Edge Cases & Ambiguous,tool_type,unapproved_tool,internal_methods,general_admin,compliance_check
69,Can I use AI to translate client documents?,Edge Cases & Ambiguous,query_context,unapproved_tool,client_information,general_admin,compliance_check
70,Are AI mobile apps treated differently?,Edge Cases & Ambiguous,tool_type,unapproved_tool,public_information,general_admin,compliance_check
71,How long does tool approval actually take?,Process & Timeline,query_context,unapproved_tool,public_information,general_admin,tool_approval
72,What happens after I submit the assessment form?,Process & Timeline,query_context,unapproved_tool,public_information,general_admin,tool_approval
73,Can I expedite approval for a critical project?,Process & Timeline,query_context,unapproved_tool,internal_methods,general_admin,tool_approval
74,Who reviews the AI tool requests?,Process & Timeline,query_context,unapproved_tool,public_information,general_admin,tool_approval
75,What criteria do you use to approve tools?,Process & Timeline,query_context,unapproved_tool,public_information,general_admin,tool_approval
76,How often is the approved tools list updated?,Process & Timeline,query_context,unapproved_tool,public_information,general_admin,compliance_check
77,When will ChatGPT Enterprise be evaluated?,Process & Timeline,query_context,chatgpt,public_information,general_admin,tool_approval
78,What's the process if a tool is rejected?,Process & Timeline,query_context,unapproved_tool,public_information,general_admin,tool_approval
79,Can I appeal a tool rejection?,Process & Timeline,query_context,unapproved_tool,public_information,general_admin,tool_approval
80,How do I check the status of my request?,Process & Timeline,query_context,unapproved_tool,public_information,general_admin,finding_forms_links
81,I want to build a custom AI workflow - where do I start?,Innovation & Advanced Use,query_context,unapproved_tool,internal_methods,operations,innovation_idea
82,Can we create Slack bots using approved AI?,Innovation & Advanced Use,query_context,gemini,internal_methods,operations,innovation_idea
83,Is it possible to connect AI to our internal APIs?,Innovation & Advanced Use,data_sensitivity,unapproved_tool,internal_methods,engineering,innovation_idea
84,I have an idea for AI-powered reporting automation,Innovation & Advanced Use,query_context,gemini,viewership_metrics,operations,innovation_idea
85,Can we use AI for predictive analytics on viewership?,Innovation & Advanced Use,data_sensitivity,unapproved_tool,viewership_metrics,general_admin,innovation_idea
86,What about using AI for real-time campaign optimization?,Innovation & Advanced Use,query_context,unapproved_tool,client_information,operations,innovation_idea
87,Could we build an AI assistant for client queries?,Innovation & Advanced Use,query_context,unapproved_tool,client_information,sales,innovation_idea
88,Is federated learning allowed under the policy?,Innovation & Advanced Use,query_context,unapproved_tool,viewership_metrics,engineering,compliance_check
89,Can we fine-tune models on our data?,Innovation & Advanced Use,data_sensitivity,unapproved_tool,viewership_metrics,engineering,compliance_check
90,What's the policy on AI-generated insights for clients?,Innovation & Advanced Use,query_context,gemini,client_information,sales,compliance_check
91,What's better for coding - Cursor or Copilot?,Comparison & Migration,tool_type,cursor,internal_methods,engineering,tool_approval
92,Should we switch from ChatGPT to Gemini?,Comparison & Migration,tool_type,chatgpt,internal_methods,general_admin,tool_approval
93,Compare NotebookLM vs Claude for research,Comparison & Migration,tool_type,notebooklm,public_information,general_admin,tool_approval
94,Which tool is best for analyzing large datasets?,Comparison & Migration,query_context,unapproved_tool,viewership_metrics,general_admin,tool_approval
95,Can I use multiple AI tools for the same project?,Comparison & Migration,query_context,unapproved_tool,internal_methods,general_admin,compliance_check
96,What's the advantage of enterprise vs personal accounts?,Comparison & Migration,query_context,unapproved_tool,internal_methods,general_admin,compliance_check
97,Why Cursor instead of other coding assistants?,Comparison & Migration,tool_type,cursor,internal_methods,engineering,tool_approval
98,Which AI tool has the best security for client data?,Comparison & Migration,data_sensitivity,unapproved_tool,client_information,general_admin,tool_approval
99,Should every department use the same AI tools?,Comparison & Migration,query_context,unapproved_tool,public_information,general_admin,best_practices
100,What's the roadmap for AI tool adoption?,Comparison & Migration,query_context,unapproved_tool,public_information,general_admin,innovation_idea
